trade_num,side,exit_type,net_pnl,strike,expiry,spot_r,spot_p,bid_entry,ask_entry,mark_entry,delta_p,delta_r
170,Short call,ask,431.3,129000.0,1AUG25,118649.0,119071.0,0.006,0.0065,0.0061,0.157,0.15
171,Short call,ask,645.3,132000.0,1AUG25,120642.0,121025.0,0.0065,0.007,0.0066,0.158,0.15
172,Short call,ask,383.69,128000.0,1AUG25,118339.0,118573.0,0.005,0.006,0.0055,0.152,0.15
173,Short put,ask,283.42,110000.0,1AUG25,117915.0,118330.0,0.005,0.006,0.0055,0.145,0.15
174,Short put,ask,395.18,111000.0,1AUG25,118476.0,118819.0,0.005,0.0055,0.0052,0.146,0.15
175,Short put,ask,382.29,110000.0,1AUG25,117373.0,117656.0,0.0047,0.005,0.0049,0.142,0.15
176,Short put,ask,353.96,112000.0,1AUG25,118699.0,119067.0,0.0044,0.0046,0.0045,0.144,0.15
177,Short put,ask,435.64,108000.0,8AUG25,117678.0,118044.0,0.006,0.0065,0.0063,0.139,0.15
178,Short put,ask,441.22,105000.0,8AUG25,115683.0,115958.0,0.006,0.0065,0.0061,0.129,0.15
179,Short put,ask,-79.72,110000.0,8AUG25,117496.0,117950.0,0.006,0.007,0.0065,0.162,0.15
180,Short call,ask,445.63,128000.0,15AUG25,118354.0,118650.0,0.0045,0.0048,0.0047,0.14,0.15
181,Short put,ask,414.64,108000.0,15AUG25,115588.0,115809.0,0.006,0.0065,0.0065,0.161,0.15
182,Short put,ask,442.6,106000.0,15AUG25,113944.0,114139.0,0.005,0.006,0.0055,0.144,0.15
183,Short put,ask,522.48,105000.0,15AUG25,113604.0,113648.0,0.0055,0.006,0.0057,0.142,0.15
184,Short put,ask,403.01,108000.0,15AUG25,114405.0,114609.0,0.0043,0.0047,0.0045,0.147,0.15
185,Short put,ask,433.69,108000.0,22AUG25,114638.0,114931.0,0.006,0.007,0.0064,0.171,0.15
186,Short put,ask,299.65,109000.0,22AUG25,116632.0,116966.0,0.0047,0.005,0.005,0.14,0.15
187,Short put,ask,174.0,110000.0,22AUG25,116792.0,117157.0,0.0043,0.0047,0.0045,0.142,0.15
188,Short put,ask,107.77,112000.0,22AUG25,118061.0,118494.0,0.0045,0.0048,0.0047,0.155,0.15
189,Short put,ask,-349.2,113000.0,22AUG25,118816.0,119170.0,0.0047,0.0055,0.0049,0.163,0.15
190,Short call,ask,409.35,128000.0,29AUG25,119077.0,119511.0,0.0048,0.0055,0.0051,0.154,0.15
191,Short call,ask,341.42,126000.0,29AUG25,117715.0,118014.0,0.0042,0.0044,0.0043,0.143,0.15
192,Short call,ask,405.14,126000.0,29AUG25,118085.0,118325.0,0.0045,0.0048,0.0046,0.153,0.15
193,Short call,ask,375.07,123000.0,29AUG25,115764.0,115903.0,0.0042,0.0047,0.0047,0.16,0.15
194,Short call,ask,432.11,122000.0,29AUG25,115011.0,115116.0,0.0046,0.0049,0.0047,0.161,0.15
195,Short call,ask,346.38,123000.0,5SEP25,113975.0,114313.0,0.0049,0.0055,0.0052,0.151,0.15
196,Short call,ask,385.63,123000.0,5SEP25,113280.0,113550.0,0.0047,0.0055,0.0051,0.142,0.15
197,Short call,ask,413.27,120000.0,5SEP25,112344.0,112655.0,0.0043,0.0047,0.0045,0.15,0.15
198,Short call,ask,353.29,118000.0,5SEP25,110224.0,110379.0,0.0043,0.0046,0.0045,0.145,0.15
199,Short call,ask,351.97,118000.0,5SEP25,111408.0,111614.0,0.0038,0.004,0.004,0.151,0.15
200,Short put,ask,25.62,104000.0,12SEP25,112867.0,113313.0,0.006,0.007,0.0064,0.144,0.15
201,Short put,ask,334.34,104000.0,12SEP25,111286.0,111612.0,0.0075,0.008,0.0078,0.176,0.15
202,Short call,ask,77.76,116000.0,12SEP25,108366.0,108531.0,0.005,0.0055,0.0055,0.164,0.15
