date,nav_open,nav_high,nav_low,nav_close,nav_close_realized,return_pct,drawdown_pct,active_slots,eod_slot
2025-11-08,113338.44828000004,113638.78598000004,113338.67898000006,113638.78598000004,113638.78598000004,13.6388,-0.2641,C,
2025-11-09,113638.78598000004,113638.78598000004,113638.78598000004,113638.78598000004,113638.78598000004,13.6388,-0.0,,
2025-11-10,113638.78598000004,113638.78598000004,113287.01998000004,113679.61548000004,113638.78598000004,13.6796,-0.3095,A,A
2025-11-11,113679.61548000004,113891.28805500004,113442.88805500005,113987.41255500005,113891.03805500004,13.9874,-0.3937,A,A
2025-11-12,113987.41255500005,114312.83463500004,113889.09213500004,114226.66913500005,114269.75213500005,14.2267,-0.3707,A,A
2025-11-13,114226.66913500005,114650.20908500005,114014.45658500007,114650.20908500005,114650.20908500005,14.6502,-0.5545,A,
2025-11-14,114650.20908500005,114948.99408500006,114122.87908500005,114371.22383500004,114650.20908500005,14.3712,-0.7187,C,C
2025-11-15,114371.22383500004,115032.35998500005,114369.25498500005,115032.35998500005,115032.35998500005,15.0324,-0.5765,C,
2025-11-16,115032.35998500005,115032.35998500005,115032.35998500005,115032.35998500005,115032.35998500005,15.0324,-0.0,,
2025-11-17,115032.35998500005,115369.32965000004,114805.07965000004,115369.32965000004,115369.32965000004,15.3693,-0.4891,B,
2025-11-18,115369.32965000004,115369.45215000004,115082.91965000004,115462.66565000004,115369.32965000004,15.4627,-0.2484,A,A
2025-11-19,115462.66565000004,116046.16395000005,114006.95395000005,115548.28995000005,115797.22645000005,15.5483,-1.7572,A,A
2025-11-20,115548.28995000005,116809.01840000006,114942.36590000006,115644.88040000005,116226.94840000005,15.6449,-1.598,A,A
2025-11-21,115644.88040000005,116598.57870000004,114153.89370000004,116934.16070000005,116598.54370000005,16.9342,-2.273,"A,C",C
2025-11-22,116934.16070000005,116986.86020000005,116934.10820000005,116986.86020000005,116986.86020000005,16.9869,-0.0451,C,
2025-11-23,116986.86020000005,116986.86020000005,116986.86020000005,116986.86020000005,116986.86020000005,16.9869,-0.0,,
2025-11-24,116986.86020000005,117392.96505000006,116648.77005000005,117031.85355000006,117212.41005000005,17.0319,-0.6339,"A,B",A
2025-11-25,117031.85355000006,117611.77895000004,116790.11145000005,117492.69345000005,117538.47645000005,17.4927,-0.6986,A,A
2025-11-26,117492.69345000005,117948.66475000005,117361.86375000005,117917.03875000004,117932.85175000005,17.917,-0.4975,A,A
2025-11-27,117917.03875000004,118139.47989000005,117719.27489000006,118035.01139000006,118065.45789000005,18.035,-0.3557,A,A
2025-11-28,118035.01139000006,118330.75984000004,117753.57984000005,118619.86734000006,118330.75984000004,18.6199,-0.4878,"A,C",C
2025-11-29,118619.86734000006,118619.86934000005,118619.86934000005,118619.86934000005,118619.86934000005,18.6199,-0.0,C,
2025-11-30,118619.86934000005,118619.86934000005,118619.86934000005,118619.86934000005,118619.86934000005,18.6199,-0.0,,
2025-12-01,118619.86934000005,118996.03629000005,118259.38129000005,119002.71779000005,118996.03629000005,19.0027,-0.6191,"A,B",A
2025-12-02,119002.71779000005,119437.66486000005,118732.91986000005,119547.30486000005,119437.66486000005,19.5473,-0.5901,A,A
2025-12-03,119547.30486000005,119772.25463500005,118035.30213500006,119814.37963500005,119772.08963500005,19.8144,-1.4502,A,A
2025-12-04,119814.37963500005,120116.64738500005,119558.19738500006,120071.54038500006,120041.87238500005,20.0715,-0.4649,A,A
2025-12-05,120071.54038500006,120447.10097000006,119920.59347000005,120801.87397000004,120447.04597000005,20.8019,-0.4371,"A,C",C
2025-12-06,120801.87397000004,120838.51389500005,120783.52189500004,120838.51389500005,120838.51389500005,20.8385,-0.0455,C,
2025-12-07,120838.51389500005,120838.51389500005,120838.51389500005,120838.51389500005,120838.51389500005,20.8385,-0.0,,
2025-12-08,120838.51389500005,120838.51389500005,120609.63389500006,120883.21289500006,120838.51389500005,20.8832,-0.1894,A,A
