combo_idx,date,nav_low,nav_high,nav_close,realized_close
183,2025-10-02,106804.68,106804.68,106804.68,6804.679
183,2025-10-03,104412.65,107122.05,107122.05,6804.679
183,2025-10-04,107121.945,107376.37,107376.37,7376.366
183,2025-10-05,107376.37,107376.37,107376.37,7376.366
183,2025-10-06,107376.37,107376.37,107376.37,7376.366
183,2025-10-07,107376.37,107376.37,107376.37,7376.366
183,2025-10-08,107376.37,107376.37,107376.37,7376.366
183,2025-10-09,107376.37,107376.37,107376.37,7376.366
183,2025-10-10,103122.73,107486.06,103122.73,3122.7288
183,2025-10-11,103122.73,103122.73,103122.73,3122.7288
183,2025-10-12,103122.73,103122.73,103122.73,3122.7288
183,2025-10-13,103122.73,103122.73,103122.73,3122.7288
183,2025-10-14,103122.73,103122.73,103122.73,3122.7288
183,2025-10-15,103122.73,103122.73,103122.73,3122.7288
183,2025-10-16,103122.73,103122.73,103122.73,3122.7288
183,2025-10-17,102720.31,103733.09,103733.09,3122.7288
183,2025-10-18,103732.055,103858.695,103858.695,3858.6921
183,2025-10-19,103858.695,103858.695,103858.695,3858.6921
183,2025-10-20,103858.695,103858.695,103858.695,3858.6921
183,2025-10-21,103858.695,103858.695,103858.695,3858.6921
183,2025-10-22,103858.695,103858.695,103858.695,3858.6921
183,2025-10-23,103858.695,103858.695,103858.695,3858.6921
183,2025-10-24,103358.445,104496.04,104496.04,3858.6921
183,2025-10-25,104391.37,104600.375,104600.375,4600.3716
183,2025-10-26,104600.375,104600.375,104600.375,4600.3716
183,2025-10-27,104600.375,104600.375,104600.375,4600.3716
183,2025-10-28,104600.375,104600.375,104600.375,4600.3716
183,2025-10-29,104600.375,104600.375,104600.375,4600.3716
183,2025-10-30,104600.375,104600.375,104600.375,4600.3716
183,2025-10-31,103180.7,105245.84,105245.766,4600.3716
183,2025-11-01,105245.71,105349.87,105349.87,5349.866
183,2025-11-02,105349.87,105349.87,105349.87,5349.866
183,2025-11-03,105349.87,105349.87,105349.87,5349.866
183,2025-11-04,105349.87,105349.87,105349.87,5349.866
183,2025-11-05,105349.87,105349.87,105349.87,5349.866
183,2025-11-06,105349.87,105349.87,105349.87,5349.866
183,2025-11-07,103428.84,105500.055,105500.055,5349.866
183,2025-11-08,105500.516,106100.73,106100.73,6100.7305
183,2025-11-09,106100.73,106100.73,106100.73,6100.7305
183,2025-11-10,106100.73,106100.73,106100.73,6100.7305
183,2025-11-11,106100.73,106100.73,106100.73,6100.7305
183,2025-11-12,106100.73,106100.73,106100.73,6100.7305
183,2025-11-13,106100.73,106100.73,106100.73,6100.7305
183,2025-11-14,104488.1,106140.33,105542.76,6100.7305
183,2025-11-15,105538.82,106865.03,106865.03,6865.032
183,2025-11-16,106865.03,106865.03,106865.03,6865.032
183,2025-11-17,106865.03,106865.03,106865.03,6865.032
183,2025-11-18,106865.03,106865.03,106865.03,6865.032
183,2025-11-19,106865.03,106865.03,106865.03,6865.032
183,2025-11-20,106865.03,106865.03,106865.03,6865.032
183,2025-11-21,106590.79,107536.336,107536.266,6865.032
183,2025-11-22,107536.16,107641.664,107641.664,7641.665
183,2025-11-23,107641.664,107641.664,107641.664,7641.665
183,2025-11-24,107641.664,107641.664,107641.664,7641.665
183,2025-11-25,107641.664,107641.664,107641.664,7641.665
183,2025-11-26,107641.664,107641.664,107641.664,7641.665
183,2025-11-27,107641.664,107641.664,107641.664,7641.665
183,2025-11-28,107065.52,108219.88,108219.88,7641.665
183,2025-11-29,108219.88,108219.88,108219.88,8219.884
183,2025-11-30,108219.88,108219.88,108219.88,8219.884
183,2025-12-01,108219.88,108219.88,108219.88,8219.884
183,2025-12-02,108219.88,108219.88,108219.88,8219.884
183,2025-12-03,108219.88,108219.88,108219.88,8219.884
183,2025-12-04,108219.88,108219.88,108219.88,8219.884
183,2025-12-05,107910.31,108929.65,108929.54,8219.884
183,2025-12-06,108892.836,109002.82,109002.82,9002.82
183,2025-12-07,109002.82,109002.82,109002.82,9002.82
183,2025-12-08,109002.82,109002.82,109002.82,9002.82
183,2025-12-09,109002.82,109002.82,109002.82,9002.82
183,2025-12-10,109002.82,109002.82,109002.82,9002.82
183,2025-12-11,109002.82,109002.82,109002.82,9002.82
183,2025-12-12,108649.414,109611.516,109610.88,9002.82
183,2025-12-13,109610.61,109786.05,109786.05,9786.046
183,2025-12-14,109786.05,109786.05,109786.05,9786.046
183,2025-12-15,109786.05,109786.05,109786.05,9786.046
183,2025-12-16,109786.05,109786.05,109786.05,9786.046
183,2025-12-17,109786.05,109786.05,109786.05,9786.046
183,2025-12-18,109786.05,109786.05,109786.05,9786.046
183,2025-12-19,109467.63,110486.086,110486.04,9786.046
183,2025-12-20,110486.03,110565.33,110565.33,10565.331
183,2025-12-21,110565.33,110565.33,110565.33,10565.331
183,2025-12-22,110565.33,110565.33,110565.33,10565.331
183,2025-12-23,110565.33,110565.33,110565.33,10565.331
183,2025-12-24,110565.33,110565.33,110565.33,10565.331
183,2025-12-25,110565.33,110565.33,110565.33,10565.331
183,2025-12-26,110083.74,111279.34,111279.34,10565.331
183,2025-12-27,111279.34,111279.34,111279.34,11279.342
183,2025-12-28,111279.34,111279.34,111279.34,11279.342
183,2025-12-29,111279.34,111279.34,111279.34,11279.342
183,2025-12-30,111279.34,111279.34,111279.34,11279.342
183,2025-12-31,111279.34,111279.34,111279.34,11279.342
183,2026-01-01,111279.34,111279.34,111279.34,11279.342
183,2026-01-02,110865.164,111912.42,111912.3,11279.342
183,2026-01-03,111912.26,112072.4,112072.4,12072.398
183,2026-01-04,112072.4,112072.4,112072.4,12072.398
183,2026-01-05,112072.4,112072.4,112072.4,12072.398
183,2026-01-06,112072.4,112072.4,112072.4,12072.398
183,2026-01-07,112072.4,112072.4,112072.4,12072.398
183,2026-01-08,112072.4,112072.4,112072.4,12072.398
183,2026-01-09,111626.8,112300.98,112300.87,12072.398
183,2026-01-10,112300.77,112433.9,112433.9,12433.897
183,2026-01-11,112433.9,112433.9,112433.9,12433.897
183,2026-01-12,112433.9,112433.9,112433.9,12433.897
183,2026-01-13,112433.9,112433.9,112433.9,12433.897
183,2026-01-14,112433.9,112433.9,112433.9,12433.897
183,2026-01-15,112433.9,112433.9,112433.9,12433.897
183,2026-01-16,111867.54,112675.01,112675.01,12433.897
183,2026-01-17,112675.01,112675.01,112675.01,12675.009
183,2026-01-18,112675.01,112675.01,112675.01,12675.009
183,2026-01-19,112675.01,112675.01,112675.01,12675.009
183,2026-01-20,112675.01,112675.01,112675.01,12675.009
183,2026-01-21,112675.01,112675.01,112675.01,12675.009
183,2026-01-22,112675.01,112675.01,112675.01,12675.009
183,2026-01-23,112212.75,113026.51,113026.51,12675.009
183,2026-01-24,112893.234,113159.78,113159.78,13159.782
183,2026-01-25,113159.78,113159.78,113159.78,13159.782
183,2026-01-26,113159.78,113159.78,113159.78,13159.782
183,2026-01-27,113159.78,113159.78,113159.78,13159.782
183,2026-01-28,113159.78,113159.78,113159.78,13159.782
183,2026-01-29,113159.78,113159.78,113159.78,13159.782
183,2026-01-30,111125.99,113636.24,113551.984,13159.782
183,2026-01-31,113552.11,113968.43,113968.43,13968.433
183,2026-02-01,113968.43,113968.43,113968.43,13968.433
183,2026-02-02,113968.43,113968.43,113968.43,13968.433
183,2026-02-03,113968.43,113968.43,113968.43,13968.433
183,2026-02-04,113968.43,113968.43,113968.43,13968.433
183,2026-02-05,113968.43,113968.43,113968.43,13968.433
